data/BP_videos/10.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-127,91.33,227.65,27.81,27.81,5.11,265.11,13.96,0.05,35.93,0.00
-126,95.31,,32.70,32.70,-5.71,,11.58,0.12,,-9.46
-125,99.70,,32.29,34.02,-0.78,,27.15,0.03,,-4.97
-124,95.38,,24.60,31.76,-4.86,,16.43,0.03,,-8.58
-123,94.41,,26.96,36.54,0.55,,7.03,0.03,,-3.20
-122,98.89,,26.93,34.86,-6.26,,1.43,0.07,,-5.63
-121,93.90,,23.74,36.30,-7.81,,1.43,0.03,,-1.26
-120,101.76,,34.11,36.15,-1.24,,-4.28,0.05,,-5.46
-119,93.00,,30.19,37.08,-4.47,,23.86,0.03,,1.24
-118,95.33,,35.00,37.93,-0.61,,6.02,0.07,,-4.36
-117,95.90,,34.11,39.98,-4.39,,8.48,0.07,,-9.41
-116,93.90,,33.61,36.46,-7.35,,-5.20,0.07,,-6.13
-115,94.91,,33.09,39.03,-4.46,,-14.44,0.12,,-9.48
-114,94.94,,26.91,37.44,-15.50,,-11.14,0.03,,-8.93
-113,90.98,,33.06,39.03,-4.39,,-25.20,0.03,,-10.58
-112,91.88,,31.06,33.45,-8.39,,-19.51,0.05,,-5.66
-111,91.74,,32.23,38.00,-10.06,,-19.67,0.05,,-16.03
-110,91.98,,31.11,33.61,-15.27,,-19.68,0.05,,-8.69
-109,93.38,,33.23,38.53,-12.58,,-23.87,1.05,,-15.95
-108,92.91,,31.98,42.44,-15.43,,-24.75,0.03,,-21.48
-107,89.44,,33.20,38.33,-21.23,,-24.51,,,-13.18
-106,88.95,,30.47,42.94,-21.26,,,,,-26.14
-105,89.43,,29.54,36.54,-26.02,,,,,-17.89
-104,93.94,,30.32,42.90,-24.18,,,,,-24.18
-103,91.95,,33.97,45.52,-12.69,,,,,-15.18
-102,95.71,,30.38,44.36,-24.39,,,,,-18.60
-101,92.90,,35.81,47.57,-18.37,,,,,-20.06
-100,91.79,,31.11,51.68,-26.74,,,,,-22.43
-99,89.98,,31.24,53.19,-22.57,,,,,-18.39
-98,94.74,,35.95,52.12,-24.10,,,,,-16.29
-97,94.91,,31.36,57.32,-19.49,,,,,-24.33
-96,95.35,,40.26,59.24,-22.79,,,,,-22.79
-95,96.52,,39.45,67.48,-25.82,,,,,-29.63
-94,93.37,,39.61,61.90,-21.03,,,,,-21.48
-93,99.58,,36.91,69.22,-18.74,,,,,-20.44
-92,101.83,,65.21,42.25,-21.79,,,,,-21.79
-91,98.34,,75.38,43.07,-19.28,,,,,-19.28
-90,97.98,,72.37,40.08,-21.36,,,,,-21.36
-89,99.91,,39.14,81.48,-13.07,,,,,-10.60
-88,103.33,,42.74,44.55,-20.32,,,,,-17.59
-87,103.64,,43.43,71.91,-20.22,,,,,-13.13
-86,103.15,,49.27,63.31,-15.33,,,,,-15.33
-85,109.20,,47.55,64.08,-10.19,,,,,-12.68
-84,110.38,,50.29,70.65,-12.95,,,,,-5.25
-83,112.37,,53.74,65.23,-7.46,,,,,-7.46
-82,112.97,,65.32,60.44,-0.50,,,,,-0.50
-81,117.64,,61.25,67.35,-6.30,,,,,-11.03
-80,120.03,,65.35,62.39,-6.13,,,,,-5.28
-79,121.04,,70.72,57.89,-7.03,,,,,-5.18
-78,123.13,,72.80,52.08,4.28,,,,,4.28
-77,125.35,,66.87,54.01,-1.37,,,,,-0.43
-76,123.73,,73.40,44.19,4.28,,,,,4.28
-75,119.72,,70.18,49.06,-0.91,,,,,-0.48
-74,118.03,,68.78,39.26,-6.02,,,,,-5.18
-73,113.37,,71.49,41.07,-5.18,,,,,-3.85
-72,110.92,,68.64,37.92,-0.91,,,,,4.28
-71,115.84,,66.18,34.87,-7.03,,,,,-5.18
-70,115.80,,62.49,38.56,-1.88,,,,,-0.77
-69,117.59,,58.84,42.16,-8.25,,,,,-6.02
-68,113.92,,57.78,40.08,-11.98,,,,,-9.38
-67,118.17,,60.00,42.16,-14.15,,,,,-15.70
-66,117.90,,63.61,45.20,-7.03,,,,,-5.18
-65,117.19,,63.19,44.19,-12.42,,,,,-9.75
-64,111.10,,65.76,45.47,-10.14,,,,,-12.09
-63,111.74,,56.97,45.56,-6.68,,,,,-8.19
-62,119.62,,69.32,51.07,-10.95,,,,,-6.25
-61,113.29,,64.36,55.41,-0.62,,,,,-4.08
-60,118.53,,63.90,66.00,-10.95,,,,,-11.63
-59,114.58,,62.64,64.75,-11.32,,,,,-8.12
-58,107.43,,67.75,60.23,,,,,,
-57,115.81,,75.11,77.21,,,,,,
-56,114.80,,,,,,,,,
-55,,,,,,,,,,
-54,,,,,,,,,,
-53,,,,,,,,,,
-52,,,,,,,,,,
-51,,,,,,,,,,
-50,,,,,,,,,,
-49,,,,,,,,,,
-48,,,,,,,,,,
-47,,,,,,,,,,
-46,,,,,,,,,,
-45,,,,,,,,,,
-44,,,,,,,,,,
-43,,,,,,,,,,
-42,,,,,,,,,,
-41,,,,,,,,,,
-40,,,,,,,,,,
-39,,,,,,,,,,
-38,,,,,,,,,,
-37,,,,,,,,,,
-36,,,,,,,,,,
-35,,,,,,,,,,
-34,,,,,,,,,,
-33,,,,,,,,,,
-32,,,,,,,,,,
-31,,,,,,,,,,
-30,,,,,,,,,,
-29,,,,,,,,,,
-28,,,,,,,,,,
-27,,,,,,,,,,
-26,,,128.83,135.92,,,,,,
-25,,,,,,,,,,
-24,,,,,,,,,,
-23,,,,,,,,,,
-22,,,,,,,,,,
-21,,,,,,,,,,
-20,,,,,,,,,,
-19,,,,,,,,,,
-18,,,,,,,,,,
-17,,,,,,,,,,
-16,,,,,,,,,,
-15,,,,,,,,,,
-14,,,,,,,,,,
-13,,,,,,,,,,
-12,,,,,,,,,,
-11,,,,,,,,,,
-10,,,,,,,,,,
-9,,,,,,,,,,
-8,,,,,,,,,,
-7,,,,,,,,,,
-6,107.06,,,,,,,,,
-5,111.24,,17.56,8.61,4.28,,,,,4.28
-4,109.15,,13.51,11.50,2.94,,,,,-0.79
-3,108.74,,13.11,2.32,7.34,,,,,7.34
-2,108.17,,10.42,0.46,7.34,,,,,3.30
-1,110.73,,14.96,4.15,11.70,,,,,7.34
0,103.85,,9.04,0.00,6.90,,,,,2.88
1,101.54,,11.40,2.98,6.28,,,,,2.23
2,96.46,,0.68,-9.19,7.55,,,,,-0.52
3,95.94,,0.20,8.01,3.31,,,,,-0.32
4,97.61,,2.85,,3.52,,,,,0.26
5,,,54.32,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,150.07,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,43.51,50.77,,,,,,
49,,,48.43,48.43,,,,,,
50,,,,,,,,,,
51,,,47.52,54.23,,,,,,
52,,,,53.55,,,,,,
53,,,76.07,76.07,,,,,,
54,76.63,,47.66,52.26,-17.13,,,,,-26.51
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,41.46,,,,,,
86,111.49,,,,,,,,,
87,111.16,,53.22,48.37,,,,,,16.33
88,114.24,,54.37,54.37,13.98,,,,,4.22
89,114.59,,48.34,48.34,-3.55,,,,,-11.18
90,112.07,,45.20,45.20,-0.21,,,,,-3.14
91,109.39,,43.26,43.26,-7.85,,,,,-2.74
92,111.26,,49.08,42.32,-8.20,,,,,-8.20
93,108.87,,101.83,42.01,-8.20,,,,,-3.14
94,109.80,,43.67,43.67,-7.85,,,,,-2.74
95,104.83,,44.27,40.13,-5.41,,,,,-1.02
96,106.42,,43.47,36.79,0.13,,,,,-5.32
97,105.72,,40.32,33.59,-5.52,,,,,-5.52
98,106.04,,46.58,46.58,1.34,,,,,1.34
