data/kolin.mp4
Hips height (frame coordinates),Hips height (real coordinates),Left foot height (frame coordinates),Left foot height (real coordinates),Right foot height (frame coordinates),Right foot height (real coordinates),
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
279.65,12.15,308,40.5,332.3,64.8,
274.433,6.93333,310.133,42.6333,326,58.5,
275.65,8.15,320.2,52.7,320.2,52.7,
279.943,11.4429,319.8,51.3,311.829,43.3286,
275.957,7.45714,327.771,59.2714,311.829,43.3286,
280.4,10.9,335.933,66.4333,304.2,34.7,
279.764,10.2643,338.586,69.0857,338.586,69.0857,
284.686,14.1857,339.586,69.0857,339.586,69.0857,
282.686,11.1857,314.057,42.5571,337.586,66.0857,
281.686,9.18571,320.9,48.4,328.743,56.2429,
282.943,9.44286,322.8,49.3,338.743,65.2429,
284.686,10.1857,339.586,65.0857,308.214,33.7143,
289.75,15.25,350.5,76,318.1,43.6,
296.8,21.3,353.5,78,353.5,78,
290.508,14.0077,313.769,37.2692,352.538,76.0385,
286.442,9.94231,330.231,53.7308,346.154,69.6538,
289.7,12.2,338.3,60.8,346.4,68.9,
281.754,3.25385,343.785,65.2846,328.277,49.7769,
285.664,6.664,347.872,68.872,316.768,37.768,
293.8,14.8,357.16,78.16,317.56,38.56,
292.404,12.4038,360.077,80.0769,312.308,32.3077,
292.75,11.75,361.6,80.6,329.2,48.2,
296.385,13.8846,336.192,53.6923,352.115,69.6154,
300.8,17.3,349.4,65.9,349.4,65.9,
297.75,13.25,334.2,49.7,366.6,82.1,
301.914,16.4143,373.657,88.1571,333.8,48.3,
302.929,17.9286,330.829,45.8286,378.657,93.6571,
308.914,22.9143,372.686,86.6857,380.657,94.6571,
301.686,14.6857,356.586,69.5857,372.271,85.2714,
301.943,13.9429,365.714,77.7143,365.714,77.7143,
301.266,12.2655,368.269,79.269,352.503,63.5034,
311.521,21.0207,379.579,89.0793,347.552,57.0517,
309.8,17.8,385.04,93.04,337.52,45.52,
306.517,12.5172,386.586,92.5862,330.538,36.5379,
295.84,-0.16,375.04,79.04,327.52,31.52,
290.197,-7.80323,362.588,64.5878,331.05,33.0501,
288.778,-12.7224,349.486,47.9858,329.395,27.8949,
287.161,-15.3389,347.244,44.7436,331.54,29.0396,
281.602,-24.8975,346.386,39.886,320.381,13.8807,
279.662,-28.8379,352.589,44.0894,316.307,7.80749,
274.83,-37.1699,354.99,42.9904,306.091,-5.90947,
277.913,-36.5868,354.58,40.08,294.36,-20.1397,
280.191,-38.3087,337.703,19.2035,287.029,-31.4709,
279.801,-41.1993,279.821,-41.1788,314.273,-6.72748,
284.003,-39.4975,289.333,-34.1669,268.464,-55.0355,
285.715,-41.7846,257.713,-69.7866,259.813,-67.6867,
282.481,-48.0188,254.525,-75.975,246.537,-83.9625,
281.431,-53.0693,243.289,-91.2111,241.224,-93.2758,
273.922,-63.0777,226.259,-110.741,224.19,-112.81,
266.5,-73.4996,216.05,-123.95,216.05,-123.95,
262.023,-82.4771,202.773,-141.727,209.65,-134.85,
0,0,195.075,-152.425,195.075,-152.425,
245.124,-107.376,195.261,-157.239,189.721,-162.779,
0,0,0,0,0,0,
237.097,-121.903,182.628,-176.372,178.657,-180.343,
228.631,-133.369,180.855,-181.145,0,0,
223.295,-141.705,0,0,160.919,-204.081,
0,0,0,0,0,0,
0,0,0,0,0,0,
200.165,-174.335,145.318,-229.182,129.647,-244.853,
184.329,-192.671,129.482,-247.518,121.647,-255.353,
176.329,-203.171,113.647,-265.853,105.812,-273.688,
167.329,-215.171,96.8118,-285.688,96.8118,-285.688,
158.165,-228.335,87.6471,-298.853,87.6471,-298.853,
142.682,-245.318,75.4545,-312.545,75.4545,-312.545,
132.413,-256.587,68.0625,-320.938,60.0188,-328.981,
0,0,0,0,0,0,
118.188,-275.812,59.125,-334.875,59.125,-334.875,
162.811,-235.189,115.144,-282.856,0,0,
162.053,-237.447,108.632,-290.868,131.526,-267.974,
162.756,-237.244,0,0,107.144,-292.856,
