data/kolin.mp4
Frame number,Hips height (frame coordinates),Hips height (real coordinates),Left foot height (frame coordinates),Left foot height (real coordinates),Right foot height (frame coordinates),Right foot height (real coordinates),Torso tilt (chest) (frame coordinates),Torso tilt (shoulders) (frame coordinates)
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,-279.65,-12.15,-308,-40.5,-332.3,-64.8,11.2157,13.921
97,-274.433,-6.93333,-310.133,-42.6333,-326,-58.5,18.9445,0
98,-275.65,-8.15,-320.2,-52.7,-320.2,-52.7,18.2879,0
99,-279.943,-11.4429,-319.8,-51.3,-311.829,-43.3286,-14.0362,-2.26983e-14
100,-275.957,-7.45714,-327.771,-59.2714,-311.829,-43.3286,11.3099,-2.55356e-14
101,-280.4,-10.9,-335.933,-66.4333,-304.2,-34.7,0,-6.52711
102,-279.764,-10.2643,-338.586,-69.0857,-338.586,-69.0857,11.1292,0
103,-284.686,-14.1857,-339.586,-69.0857,-339.586,-69.0857,9.30994,0
