data/kolin.mp4
Frame number,Hips height,Left ankle height,Right ankle height,Torso tilt,Shoulders tilt
0,?,?,?,?,?
1,?,?,?,?,?
2,?,?,?,?,?
3,?,?,?,?,?
4,?,?,?,?,?
5,?,?,?,?,?
6,?,?,?,?,?
7,?,?,?,?,?
8,?,?,?,?,?
9,?,?,?,?,?
10,?,?,?,?,?
11,?,?,?,?,?
12,?,?,?,?,?
13,?,?,?,?,?
14,?,?,?,?,?
15,?,?,?,?,?
16,?,?,?,?,?
17,?,?,?,?,?
18,?,?,?,?,?
19,?,?,?,?,?
20,?,?,?,?,?
21,?,?,?,?,?
22,?,?,?,?,?
23,?,?,?,?,?
24,?,?,?,?,?
25,?,?,?,?,?
26,?,?,?,?,?
27,?,?,?,?,?
28,?,?,?,?,?
29,?,?,?,?,?
30,?,?,?,?,?
31,?,?,?,?,?
32,?,?,?,?,?
33,?,?,?,?,?
34,?,?,?,?,?
35,?,?,?,?,?
36,?,?,?,?,?
37,?,?,?,?,?
38,?,?,?,?,?
39,?,?,?,?,?
40,?,?,?,?,?
41,?,?,?,?,?
42,?,?,?,?,?
43,?,?,?,?,?
44,?,?,?,?,?
45,?,?,?,?,?
46,?,?,?,?,?
47,?,?,?,?,?
48,?,?,?,?,?
49,?,?,?,?,?
50,?,?,?,?,?
51,?,?,?,?,?
52,?,?,?,?,?
53,?,?,?,?,?
54,?,?,?,?,?
55,?,?,?,?,?
56,?,?,?,?,?
57,?,?,?,?,?
58,?,?,?,?,?
59,?,?,?,?,?
60,?,?,?,?,?
61,?,?,?,?,?
62,?,?,?,?,?
63,?,?,?,?,?
64,?,?,?,?,?
65,?,?,?,?,?
66,?,?,?,?,?
67,?,?,?,?,?
68,?,?,?,?,?
69,?,?,?,?,?
70,?,?,?,?,?
71,?,?,?,?,?
72,?,?,?,?,?
73,?,?,?,?,?
74,?,?,?,?,?
75,?,?,?,?,?
76,?,?,?,?,?
77,?,?,?,?,?
78,?,?,?,?,?
79,?,?,?,?,?
80,?,?,?,?,?
81,?,?,?,?,?
82,?,?,?,?,?
83,?,?,?,?,?
84,?,?,?,?,?
85,?,?,?,?,?
86,?,?,?,?,?
87,?,?,?,?,?
88,?,?,?,?,?
89,?,?,?,?,?
90,?,?,?,?,?
91,?,?,?,?,?
92,?,?,?,?,?
93,?,?,?,?,?
94,?,?,?,?,?
95,?,?,?,?,?
96,12.15,40.5,64.8,-6.28644,-13.921
97,6.93333,42.6333,58.5,-6.52711,1.28291e-14
98,8.15,52.7,52.7,-6.28644,-1.25652e-14
99,11.4429,51.3,43.3286,-5.71059,1.13492e-14
100,7.45714,59.2714,43.3286,-6.34019,1.27678e-14
101,10.9,66.4333,34.7,-0,6.52711
102,10.2643,69.0857,69.0857,-6.23708,-0
103,14.1857,69.0857,69.0857,-5.61758,-0
