data/kolin2.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
0,,3.81,,,,22.46,1.37,0.20,-16.01,
1,,,,,,,-25.88,0.17,,
2,,,,,,,14.40,0.13,,
3,,,,,,,-15.07,0.10,,
4,,,,,,,-4.57,0.07,,
5,,,,,,,-27.95,0.23,,
6,,,,,,,25.62,0.23,,
7,,,,,,,-28.99,0.13,,
8,,,,,,,-6.34,0.07,,
9,,,,,,,14.12,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,-32.47,,-95.98,-56.29,0.00,,,,,-5.50
37,-31.08,,-78.18,-70.29,-2.27,,,,,-1.32
38,-29.77,,-91.55,-91.55,-5.29,,,,,-10.68
39,-32.96,,-99.90,-64.80,-1.80,,,,,-4.53
40,-31.98,,-89.69,-62.26,0.31,,,,,6.02
41,-33.98,,-88.91,-80.78,14.36,,,,,6.03
42,-33.34,,-95.03,-76.55,4.44,,,,,-1.14
43,-31.44,,-98.60,-59.22,0.23,,,,,1.18
44,-34.30,,-102.83,-59.90,-6.63,,,,,-9.36
45,-35.04,,-105.41,-105.41,-4.02,,,,,-9.12
46,-36.02,,-63.80,-104.09,-2.81,,,,,-0.15
47,-37.34,,-76.65,-96.19,-7.89,,,,,-6.67
48,-35.55,,-88.67,-96.44,-3.15,,,,,-1.30
49,-37.15,,-97.19,-79.14,-6.94,,,,,-5.09
50,-44.47,,-73.22,-111.85,-5.58,,,,,-5.58
51,-41.69,,-91.16,-98.91,-3.11,,,,,-0.38
52,,,,,,,,,,
53,-39.73,,-111.26,-111.26,-9.08,,,,,-3.17
54,-40.43,,-115.37,-79.80,1.49,,,,,2.18
55,-44.95,,-96.59,-107.46,7.97,,,,,3.88
56,-43.51,,-92.25,-106.43,1.26,,,,,-2.77
57,-43.69,,-80.16,-119.12,1.13,,,,,-2.28
58,-48.31,,-75.75,-117.75,-3.98,,,,,-2.64
59,-44.78,,-132.86,-80.39,-1.54,,,,,-8.67
60,-41.16,,-76.89,-118.81,-0.80,,,,,-8.44
61,-42.55,,-116.09,-93.12,2.08,,,,,-1.47
62,-38.12,,-98.09,-103.32,3.51,,,,,-1.26
63,-46.62,,-114.15,-90.28,-3.80,,,,,-3.18
64,-51.56,,-127.87,-86.76,1.02,,,,,1.84
65,-49.50,,-132.88,-86.07,10.43,,,,,-2.13
66,-45.61,,-132.77,-100.23,1.35,,,,,2.18
67,-49.02,,-129.84,-96.91,9.90,,,,,4.86
68,-47.14,,-126.53,-101.77,5.35,,,,,9.08
69,-49.77,,-115.82,-111.18,9.02,,,,,3.90
70,-50.71,,-109.36,-120.26,11.10,,,,,5.70
71,-44.87,,-100.75,-130.34,1.89,,,,,-2.19
72,-55.50,,-111.60,-135.40,4.79,,,,,0.71
73,-57.59,,-113.73,-137.34,7.21,,,,,3.27
74,-48.81,,-121.33,-121.33,3.03,,,,,3.03
75,-44.41,,-120.77,-116.28,9.86,,,,,5.82
76,-51.28,,-127.49,-103.28,3.60,,,,,-0.85
77,-46.01,,-130.48,-88.46,0.98,,,,,4.95
78,-45.40,,-123.67,-76.33,7.58,,,,,2.99
79,-38.57,,-123.94,-124.84,1.56,,,,,1.56
80,-28.41,,-115.47,-59.30,8.93,,,,,5.38
81,-22.01,,-97.76,-63.31,19.13,,,,,16.09
82,-13.67,,-76.79,-60.12,16.91,,,,,16.91
83,-2.74,,-68.37,-41.23,17.99,,,,,16.98
84,3.69,,-36.17,-71.09,29.23,,,,,26.94
85,11.60,,-76.27,-20.46,30.32,,,,,30.32
86,19.99,,-15.23,-15.23,38.16,,,,,33.40
87,22.49,,2.85,9.12,32.76,,,,,32.76
88,24.55,,13.23,13.23,32.71,,,,,32.71
89,33.58,,28.18,28.18,39.14,,,,,36.72
