data/kolin_short.mp4
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-35,,25.24,,,,24.36,-24.10,0.20,-20.84,
-34,,,,,,,-4.64,0.20,,
-33,77.48,,-32.96,22.26,7.22,,-13.38,0.10,,14.23
-32,80.95,,53.40,24.78,5.74,,-3.86,0.10,,14.87
-31,79.43,,42.63,22.16,2.35,,0.62,0.23,,11.08
-30,79.49,,38.41,34.25,3.02,,26.28,0.20,,9.79
-29,79.50,,29.98,42.27,3.12,,,,,-4.00
-28,79.68,,22.24,49.86,2.99,,,,,-4.13
-27,76.29,,19.07,47.94,-2.21,,,,,4.13
-26,71.73,,17.69,48.44,3.46,,,,,-2.25
-25,72.77,,49.06,17.47,0.11,,,,,5.68
-24,76.46,,45.48,23.87,-3.60,,,,,-9.31
-23,77.71,,31.52,31.49,0.02,,,,,5.73
-22,74.81,,25.93,45.94,-3.60,,,,,2.19
-21,70.76,,15.48,47.09,-0.02,,,,,4.74
-20,74.67,,11.06,43.52,2.63,,,,,8.30
-19,72.03,,9.21,9.21,2.45,,,,,-3.27
-18,74.43,,42.42,10.40,-3.07,,,,,-8.04
-17,72.01,,33.10,14.14,-1.85,,,,,-5.60
-16,71.22,,24.47,13.37,-2.71,,,,,-2.28
-15,75.20,,20.96,35.54,-5.01,,,,,0.70
-14,76.21,,13.19,45.32,-6.41,,,,,-0.70
-13,69.92,,0.24,51.31,2.28,,,,,-1.09
-12,77.12,,52.57,5.22,4.27,,,,,-1.38
-11,75.34,,9.80,35.57,-0.16,,,,,0.27
-10,72.20,,13.58,33.68,9.67,,,,,-0.29
-9,73.19,,18.45,16.20,3.15,,,,,3.15
-8,70.42,,35.39,9.11,4.47,,,,,4.47
-7,72.21,,6.07,44.04,6.43,,,,,5.63
-6,73.11,,41.18,-5.07,6.54,,,,,6.54
-5,69.63,,-1.14,-1.14,1.40,,,,,-3.41
-4,74.75,,22.14,6.61,8.16,,,,,12.92
-3,74.81,,15.40,15.25,-0.53,,,,,-5.30
-2,71.04,,2.63,17.76,10.01,,,,,9.34
-1,72.78,,0.77,35.47,7.00,,,,,9.63
0,73.71,,0.00,44.00,6.93,,,,,7.97
1,80.62,,1.23,57.59,5.82,,,,,5.82
2,86.01,,54.43,8.87,5.97,,,,,1.99
3,99.66,,33.00,58.55,12.68,,,,,12.68
4,106.48,,48.26,64.72,18.89,,,,,12.88
5,114.72,,55.57,77.58,21.31,,,,,16.19
6,116.26,,51.07,81.71,25.13,,,,,22.25
7,127.19,,50.12,94.84,32.02,,,,,32.02
8,133.45,,51.89,105.42,39.35,,,,,36.98
9,135.92,,62.68,121.30,32.43,,,,,27.69
10,137.24,,129.86,129.86,48.39,,,,,46.23
11,141.35,,113.21,119.41,45.76,,,,,45.13
12,147.08,,,151.55,16.66,,,,,31.13
13,152.32,,163.02,163.02,48.19,,,,,51.53
14,155.55,,179.71,186.88,53.69,,,,,52.48
15,160.78,,203.11,195.70,57.24,,,,,57.24
16,,,,,,,,,,
17,203.50,,195.20,,-50.42,,,,,57.33
18,194.52,,,230.67,47.47,,,,,-57.78
19,203.82,,254.14,254.14,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,358.70,,,,-31.34,,,,,-28.08
33,,,,,,,,,,
34,,,,,,,,,,
35,395.50,,,,-33.90,,,,,-33.90
36,,,,,,,,,,
37,,,450.42,450.42,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,423.16,,,,,,,,,
42,351.35,,,,-8.84,,,,,-18.10
43,434.61,,,,-38.31,,,,,-28.37
44,443.84,,,,-52.10,,,,,-45.63
45,450.60,,413.19,418.56,-51.48,,,,,-44.37
46,449.25,,414.81,414.81,-52.75,,,,,-45.63
47,453.86,,404.80,404.80,-56.31,,,,,-66.70
48,449.79,,393.39,400.23,-69.89,,,,,-64.92
49,440.12,,382.02,389.04,-76.42,,,,,-70.08
50,439.81,,381.79,381.79,84.55,,,,,84.55
51,428.56,,364.07,370.95,69.67,,,,,78.49
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,446.19,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
