data/kolin_short.mp4
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-35,128.08,4.96,57.34,80.92,4.34,16.82,-9.39,0.30,-22.48,0.00
-34,117.85,,36.68,36.68,7.23,,-8.77,0.20,,2.41
-33,118.23,,69.75,38.49,4.18,,-12.18,0.27,,3.56
-32,117.94,,82.50,43.57,4.22,,1.05,0.17,,-0.63
-31,122.22,,72.51,45.55,5.03,,12.00,0.07,,3.70
-30,125.20,,70.18,56.36,6.34,,-31.82,0.13,,6.34
-29,123.50,,50.38,68.86,-1.40,,-5.56,,,-1.40
-28,124.46,,50.70,88.06,-3.00,,,,,-3.00
-27,118.45,,34.92,89.84,1.09,,,,,1.09
-26,118.49,,30.69,78.05,-0.14,,,,,-4.11
-25,117.19,,28.91,76.91,0.80,,,,,4.89
-24,119.18,,63.20,38.14,-2.41,,,,,1.58
-23,119.23,,42.49,55.94,2.23,,,,,-1.58
-22,116.76,,68.21,47.60,5.16,,,,,1.58
-21,120.84,,38.20,87.02,5.60,,,,,1.32
-20,123.73,,28.23,28.23,0.37,,,,,3.41
-19,110.43,,22.45,14.45,6.54,,,,,5.29
-18,117.84,,71.33,24.60,4.78,,,,,0.23
-17,118.43,,59.75,26.82,-2.67,,,,,-2.22
-16,122.87,,48.82,38.74,4.96,,,,,1.15
-15,125.74,,41.77,60.05,-1.15,,,,,-1.15
-14,120.99,,31.34,76.56,-2.22,,,,,1.15
-13,117.97,,20.48,88.31,3.09,,,,,3.09
-12,118.79,,20.05,83.01,0.85,,,,,3.89
-11,116.81,,20.81,68.93,1.13,,,,,3.98
-10,116.47,,53.57,28.96,7.10,,,,,6.47
-9,119.01,,48.85,39.49,5.95,,,,,4.95
-8,117.89,,61.94,31.85,3.94,,,,,0.76
-7,118.04,,76.34,17.52,6.42,,,,,5.92
-6,113.70,,64.83,2.38,2.66,,,,,-0.21
-5,113.82,,54.22,14.70,2.43,,,,,5.26
-4,118.40,,39.19,14.31,10.76,,,,,10.21
-3,121.30,,23.14,21.79,10.45,,,,,6.67
-2,115.46,,11.92,34.84,9.81,,,,,6.71
-1,110.99,,7.84,56.57,6.98,,,,,3.76
0,106.14,,0.00,69.67,5.69,,,,,2.95
1,122.43,,4.33,83.79,6.25,,,,,5.70
2,140.58,,85.67,21.28,8.14,,,,,5.38
3,152.33,,46.58,95.47,16.55,,,,,11.52
4,160.30,,67.62,94.13,19.30,,,,,17.95
5,171.05,,90.13,117.34,19.76,,,,,18.52
6,184.68,,90.99,131.23,34.28,,,,,32.01
7,198.59,,79.80,144.84,38.31,,,,,34.06
8,198.51,,85.15,164.33,34.71,,,,,34.71
9,214.06,,107.85,185.89,36.89,,,,,36.39
10,217.98,,128.16,205.60,39.75,,,,,35.64
11,229.88,,229.54,183.17,42.35,,,,,44.12
12,161.58,,100.24,93.30,0.66,,,,,4.52
13,166.82,,269.77,95.60,2.56,,,,,0.05
14,162.35,,288.80,91.17,4.71,,,,,-0.05
15,157.86,,90.61,90.61,-4.34,,,,,0.05
