data/BP_videos/5.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-149,186.74,122.86,131.52,123.63,-31.80,125.21,13.49,0.10,-82.82,-26.38
-148,183.73,,139.78,115.74,-23.97,,2.76,0.03,,-25.85
-147,184.01,,115.75,131.36,-26.13,,30.49,0.03,,-25.69
-146,184.25,,113.55,131.83,-28.52,,14.97,0.07,,-34.43
-145,182.29,,112.73,134.52,-24.03,,19.33,0.08,,-27.34
-144,181.75,,116.99,139.02,-25.42,,24.98,0.08,,-25.42
-143,182.84,,118.82,118.82,-22.77,,14.46,0.03,,-25.31
-142,179.78,,119.35,137.21,-21.64,,1.83,0.05,,-18.28
-141,182.97,,116.40,139.28,-25.98,,-7.27,0.05,,-22.61
-140,185.53,,117.15,144.49,-21.64,,25.21,0.07,,-25.01
-139,184.75,,117.53,142.86,-21.98,,18.36,0.07,,-18.66
-138,186.49,,124.96,146.31,-15.84,,-7.90,0.08,,-20.61
-137,182.34,,116.29,141.45,-15.19,,16.90,0.03,,-12.01
-136,184.19,,122.67,139.51,-20.16,,8.27,0.05,,-20.61
-135,185.40,,121.59,134.84,-15.19,,31.33,0.03,,-19.50
-134,187.98,,125.88,143.64,-17.21,,22.75,0.05,,-17.21
-133,187.06,,122.87,143.72,-14.51,,17.61,0.17,,-20.35
-132,183.86,,139.11,123.48,-19.44,,8.55,0.03,,-20.23
-131,188.80,,136.22,123.70,-16.01,,2.58,0.20,,-23.14
-130,185.16,,125.86,138.42,-18.55,,-18.55,0.08,,-15.69
-129,185.53,,132.78,131.86,-16.26,,30.23,0.05,,-18.89
-128,190.69,,126.49,135.64,-13.57,,26.02,0.15,,-20.57
-127,186.64,,133.32,121.10,-17.20,,7.65,0.03,,-20.53
-126,189.70,,140.66,118.27,-17.24,,4.02,0.03,,-17.87
-125,188.04,,140.75,121.27,-15.50,,-1.84,0.05,,-16.53
-124,189.92,,142.93,112.93,-15.53,,-18.41,0.30,,-16.57
-123,189.67,,145.72,110.92,-19.17,,27.47,0.17,,-16.55
-122,186.92,,141.60,111.41,-13.36,,25.61,0.05,,-15.02
-121,185.61,,136.05,105.63,-18.79,,21.03,0.15,,-16.27
-120,179.79,,110.44,133.43,-15.77,,8.99,0.03,,-13.56
-119,178.36,,132.76,105.48,-27.26,,1.95,,,-24.56
-118,178.65,,129.41,106.94,-25.99,,,,,-17.89
-117,180.37,,127.42,108.91,-21.89,,,,,-19.19
-116,179.53,,130.40,108.71,-17.85,,,,,-16.06
-115,180.36,,130.78,111.65,-24.97,,,,,-18.78
-114,185.65,,132.77,117.43,-21.59,,,,,-18.63
-113,183.49,,133.38,114.82,-15.61,,,,,-13.40
-112,191.62,,142.89,119.74,-14.04,,,,,-11.99
-111,193.60,,138.27,120.79,-17.99,,,,,-15.77
-110,192.84,,137.76,130.72,-16.53,,,,,-18.17
-109,191.89,,131.00,128.67,-9.75,,,,,-6.36
-108,191.50,,130.51,140.56,-7.97,,,,,-10.59
-107,191.24,,125.43,139.72,-2.17,,,,,-4.73
-106,194.05,,118.42,148.63,-10.50,,,,,-6.49
-105,190.01,,112.66,146.29,-1.51,,,,,-8.71
-104,193.72,,115.88,147.62,-9.48,,,,,-8.12
-103,191.64,,111.54,111.54,-4.45,,,,,-7.06
-102,189.90,,103.63,142.50,-5.10,,,,,-3.75
-101,184.74,,104.60,144.25,-4.71,,,,,-7.26
-100,182.07,,94.15,150.13,-3.57,,,,,1.13
-99,178.23,,100.10,155.25,-5.62,,,,,-4.61
-98,179.39,,95.14,145.77,-4.60,,,,,-7.51
-97,178.54,,96.79,141.42,-3.44,,,,,-3.44
-96,177.67,,93.94,133.54,0.21,,,,,-6.99
-95,177.99,,94.09,132.92,-2.44,,,,,-1.83
-94,180.35,,107.66,135.88,-4.13,,,,,-3.12
-93,178.01,,102.05,126.74,-5.79,,,,,-1.83
-92,184.79,,111.51,125.38,-5.46,,,,,-4.13
-91,181.85,,115.63,125.12,-5.11,,,,,-7.86
-90,180.07,,108.27,115.12,1.69,,,,,2.15
-89,187.83,,121.40,112.65,0.50,,,,,-2.54
-88,183.93,,125.29,101.84,-6.38,,,,,-8.32
-87,188.09,,128.32,99.03,-9.21,,,,,-8.03
-86,185.88,,134.13,94.29,-4.67,,,,,-8.49
-85,185.78,,133.61,92.31,-0.46,,,,,-0.46
-84,180.65,,131.21,84.76,2.67,,,,,-4.45
-83,177.49,,128.66,128.66,-5.91,,,,,-4.92
-82,173.34,,133.88,79.39,-5.00,,,,,-8.02
-81,165.84,,125.65,76.53,-10.40,,,,,-10.99
-80,167.96,,120.25,76.96,-8.58,,,,,-14.20
-79,167.04,,121.29,84.87,-12.72,,,,,-10.61
-78,171.46,,118.10,77.63,-10.07,,,,,-7.80
-77,173.46,,124.23,87.85,-10.84,,,,,-9.59
-76,172.62,,115.66,84.45,-8.75,,,,,-8.75
-75,179.12,,115.41,91.44,-11.00,,,,,-9.76
-74,179.46,,115.49,94.09,-7.30,,,,,-6.40
-73,174.36,,113.53,102.23,-5.47,,,,,-7.50
-72,178.07,,106.28,110.89,-8.76,,,,,-7.86
-71,175.78,,103.70,115.00,-6.42,,,,,-2.64
-70,179.46,,92.91,125.83,-3.06,,,,,-1.21
-69,179.46,,90.51,127.10,0.89,,,,,-1.45
-68,180.41,,80.02,131.84,-4.84,,,,,-0.76
-67,177.65,,77.80,133.84,-2.14,,,,,2.01
-66,173.47,,63.12,132.82,0.24,,,,,-2.53
-65,169.46,,66.63,114.09,-2.09,,,,,-1.32
-64,167.44,,64.68,127.61,0.35,,,,,-2.61
-63,166.16,,63.14,136.01,1.63,,,,,-4.47
-62,161.53,,60.29,119.22,2.71,,,,,-0.12
-61,161.83,,56.96,107.00,2.54,,,,,2.54
-60,166.29,,62.55,103.85,1.52,,,,,1.52
-59,172.07,,66.92,103.17,2.88,,,,,-4.25
-58,168.00,,64.15,106.30,-4.87,,,,,-1.68
-57,166.20,,73.52,99.24,1.93,,,,,-1.23
-56,168.45,,74.13,87.76,-4.18,,,,,-1.02
-55,168.33,,91.01,87.16,2.21,,,,,-0.32
-54,172.78,,90.23,80.82,-0.44,,,,,-0.44
-53,171.22,,95.81,70.94,-2.96,,,,,0.20
-52,170.51,,108.22,65.54,3.54,,,,,0.36
-51,171.46,,106.18,52.61,-2.14,,,,,-1.74
-50,164.42,,104.70,46.13,1.31,,,,,-1.04
-49,158.71,,109.21,40.22,-6.01,,,,,-7.85
-48,161.21,,106.60,46.19,-8.53,,,,,-6.89
-47,157.53,,101.39,37.34,-12.61,,,,,-10.88
-46,154.28,,102.73,42.37,-11.12,,,,,-10.10
-45,150.40,,95.69,34.54,-8.51,,,,,-12.30
-44,150.09,,96.73,43.24,-7.93,,,,,-6.70
-43,156.47,,92.73,51.79,-8.79,,,,,-7.99
-42,154.00,,86.76,43.83,-5.81,,,,,-4.58
-41,157.61,,81.70,48.82,-7.94,,,,,-6.73
-40,157.64,,82.58,60.32,-8.88,,,,,-8.30
-39,155.02,,73.28,62.48,-7.30,,,,,-9.45
-38,153.65,,65.63,77.15,-6.43,,,,,-7.93
-37,152.48,,53.69,84.22,-7.16,,,,,-6.17
-36,152.18,,51.90,93.11,-5.45,,,,,-4.69
-35,153.58,,48.90,102.01,-3.25,,,,,-7.52
-34,150.94,,36.95,98.31,-4.11,,,,,-5.59
-33,151.45,,27.20,27.20,-3.43,,,,,-2.85
-32,146.79,,19.40,20.17,-2.90,,,,,-4.66
-31,153.27,,23.48,79.62,-4.05,,,,,-5.87
-30,150.45,,21.39,104.13,-0.30,,,,,0.33
-29,147.38,,21.78,95.51,-0.74,,,,,-0.17
-28,142.39,,17.43,79.50,-0.32,,,,,-0.02
-27,143.64,,28.64,75.22,-3.60,,,,,-5.37
-26,149.33,,32.74,74.32,2.62,,,,,0.40
-25,149.11,,36.80,70.79,-0.89,,,,,-3.01
-24,148.03,,36.65,59.57,2.79,,,,,2.24
-23,153.26,,47.32,53.24,-3.82,,,,,-0.34
-22,146.99,,46.69,46.71,-2.52,,,,,-2.01
-21,144.25,,50.73,36.07,1.09,,,,,1.35
-20,141.37,,59.76,22.65,-1.46,,,,,-1.20
-19,144.77,,69.59,21.33,-1.88,,,,,-3.97
-18,142.63,,65.11,14.83,-4.96,,,,,-7.28
-17,134.64,,62.09,8.59,-0.52,,,,,-2.71
-16,135.14,,63.92,9.29,-4.15,,,,,-3.90
-15,130.73,,55.68,8.26,-5.48,,,,,-5.15
-14,130.49,,48.09,6.86,-5.22,,,,,-6.95
-13,128.16,,41.36,9.13,-4.61,,,,,-4.18
-12,130.99,,36.44,21.49,-3.16,,,,,-7.68
-11,129.96,,28.82,16.59,-2.95,,,,,-2.52
-10,193.53,,26.27,122.97,-3.64,,,,,-2.96
-9,196.12,,124.79,125.10,62.91,,,,,-8.28
-8,193.99,,122.29,122.61,59.52,,,,,-8.34
-7,196.78,,116.71,117.03,56.13,,,,,-3.64
-6,197.62,,126.83,127.13,46.12,,,,,74.43
-5,195.51,,124.32,124.78,41.73,,,,,-8.34
-4,196.48,,125.31,117.73,36.66,,,,,1.12
-3,127.91,,127.28,118.97,-3.97,,,,,-6.28
-2,127.37,,-2.33,4.96,-5.62,,,,,-3.87
-1,132.44,,5.09,5.09,-5.54,,,,,-6.26
0,130.19,,0.00,74.30,-4.42,,,,,-1.54
1,188.18,,10.58,124.78,3.43,,,,,3.43
2,198.36,,127.28,120.04,-9.03,,,,,-7.19
