data/kolin.mp4
Frame number,Hips height,Left ankle height,Right ankle height,Torso tilt,Shoulders tilt,Steps duration
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,12.15,40.50,64.80,-6.29,-13.92,
97,6.93,42.63,58.50,-6.53,0.00,
98,8.15,52.70,52.70,-6.29,-0.00,
99,11.44,51.30,43.33,-5.71,0.00,
100,7.46,59.27,43.33,-6.34,0.00,
101,10.90,66.43,34.70,-0.00,6.53,
102,10.26,69.09,69.09,-6.24,-0.00,
103,14.19,69.09,69.09,-5.62,-0.00,
104,11.19,42.56,66.09,-5.62,-0.00,
105,9.19,48.40,56.24,-5.62,-5.62,
106,9.44,49.30,65.24,-5.71,-5.71,
107,10.19,65.09,33.71,-0.00,-0.00,
108,15.25,76.00,43.60,-0.00,-0.00,
109,21.30,78.00,78.00,-0.00,-0.00,0.20
110,14.01,37.27,76.04,-0.00,-5.71,
111,9.94,53.73,69.65,5.15,-0.00,
112,12.20,60.80,68.90,-0.00,-0.00,
113,3.25,65.28,49.78,5.71,-0.00,
114,6.66,68.87,37.77,4.58,-0.00,
115,14.80,78.16,38.56,3.93,-0.00,
116,12.40,80.08,32.31,-4.36,-10.22,
117,11.75,80.60,48.20,-5.15,-10.22,0.27
118,13.88,53.69,69.62,-9.38,-9.38,
119,17.30,65.90,65.90,-0.00,-4.72,
