data/kolin2.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step duration,Step duration,Takeoff angle,Torso tilt
0,,-13.32,,,,-23.37,12.11,0.07,4.38,
1,,,,,,,-26.26,0.23,,
2,,,,,,,2.66,0.20,,
3,,,,,,,26.43,0.23,,
4,,,,,,,6.51,0.07,,
5,,,,,,,9.34,0.13,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,4.01,,68.15,28.06,0.00,,,,,5.51
37,1.50,,72.97,72.97,7.03,,,,,5.63
38,6.93,,69.88,69.88,5.84,,,,,4.87
39,7.43,,70.38,38.91,5.84,,,,,0.00
40,8.51,,64.67,48.63,-0.00,,,,,-0.00
41,7.51,,63.67,55.65,-7.24,,,,,-11.49
42,8.94,,64.11,48.35,-5.87,,,,,-4.90
43,5.50,,37.30,69.10,0.00,,,,,4.73
44,11.94,,74.99,27.70,4.90,,,,,0.00
45,14.44,,85.37,85.37,0.00,,,,,9.72
46,15.44,,46.96,86.37,11.62,,,,,9.72
47,17.44,,56.85,80.49,11.62,,,,,9.72
48,14.94,,62.23,77.99,10.58,,,,,9.72
49,18.86,,73.91,58.18,9.35,,,,,8.03
50,19.51,,83.55,51.53,4.74,,,,,0.00
51,,,,,,,,,,
52,19.47,,98.85,98.85,0.00,,,,,0.00
53,15.50,,94.70,55.10,5.65,,,,,4.71
54,14.00,,85.28,53.60,5.14,,,,,4.71
55,20.01,,76.04,84.05,-0.00,,,,,4.06
56,19.86,,67.04,82.77,-4.35,,,,,0.00
57,20.86,,52.32,91.63,4.35,,,,,4.04
58,21.52,,49.60,97.74,5.28,,,,,4.47
