data/kolin2.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step duration,Step duration,Takeoff angle,Torso tilt
0,,-5.21,,,,10.73,-24.60,0.30,-17.87,
1,,,,,,,12.94,0.10,,
2,,,,,,,-8.10,0.33,,
3,,,,,,,13.35,0.17,,
4,,,,,,,-1.02,0.10,,
5,,,,,,,-27.99,0.17,,
6,,,,,,,-7.27,0.20,,
7,,,,,,,-5.95,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,-3.47,,-66.98,-27.29,0.00,,,,,-5.50
37,-1.97,,-74.03,-66.10,2.85,,,,,2.22
38,-7.47,,-74.96,-74.96,-6.19,,,,,-5.05
39,-7.62,,-70.68,-40.52,-4.12,,,,,-0.37
40,-6.68,,-65.35,-43.34,-3.49,,,,,1.70
41,-8.28,,-60.17,-59.65,0.07,,,,,4.15
42,-8.78,,-52.72,-61.08,5.33,,,,,4.15
43,-7.37,,-66.55,-66.55,-1.02,,,,,2.81
44,-11.38,,-32.10,-77.79,-1.22,,,,,-6.86
45,-16.88,,-81.91,-81.91,4.53,,,,,-6.86
46,-17.99,,-82.88,-82.88,3.35,,,,,-3.00
47,-21.84,,-62.49,-81.91,-7.27,,,,,-3.13
48,-21.25,,-64.74,-80.12,-0.97,,,,,-0.97
49,-19.21,,-68.22,-73.86,-9.67,,,,,-8.90
50,-22.42,,-49.94,-83.19,-7.55,,,,,-7.55
51,-15.60,,-64.76,-72.69,-13.26,,,,,-12.31
52,-21.12,,-101.51,-93.54,0.08,,,,,-4.69
53,-18.07,,-95.77,-48.58,0.44,,,,,0.02
54,-15.97,,-92.66,-57.19,-7.51,,,,,-2.75
55,-19.75,,-72.57,-83.57,4.48,,,,,-1.17
56,-19.38,,-71.59,-86.75,5.20,,,,,-0.19
57,-18.98,,-53.44,-87.19,-2.91,,,,,-3.58
58,-19.99,,-48.27,-100.52,0.07,,,,,-0.62
59,-26.52,,-106.88,-106.88,-2.91,,,,,-3.59
60,-31.22,,-62.55,-109.37,-0.82,,,,,-9.04
61,-22.42,,-95.96,-72.26,-2.74,,,,,-7.60
62,-19.78,,-89.40,-84.87,-2.31,,,,,-2.31
63,-26.07,,-91.62,-72.02,-2.31,,,,,-5.77
64,-20.13,,-102.06,-56.71,0.11,,,,,-4.62
65,-20.45,,-108.00,-50.15,13.70,,,,,7.40
66,-23.89,,-102.18,-102.18,4.81,,,,,3.35
67,-20.57,,-101.79,-64.78,7.77,,,,,2.53
68,-18.95,,-102.40,-70.62,8.46,,,,,3.68
69,-19.93,,-80.61,-84.68,9.90,,,,,4.83
70,-21.50,,-74.36,-86.16,9.59,,,,,4.65
71,-19.61,,-73.84,-100.37,2.00,,,,,5.75
72,-23.14,,-78.73,-108.92,2.80,,,,,2.80
73,-30.79,,-87.02,-110.22,5.45,,,,,5.00
74,-22.76,,-101.40,-101.40,5.97,,,,,-1.93
75,-22.96,,-91.52,-88.77,6.73,,,,,6.23
76,-18.67,,-93.14,-71.30,5.05,,,,,5.05
77,-24.30,,-107.08,-65.06,2.82,,,,,2.82
78,-10.80,,,,0.78,,,,,5.12
79,-4.23,,-100.30,-100.30,0.98,,,,,0.98
80,-1.28,,-90.71,-33.08,9.41,,,,,5.96
81,8.53,,-66.81,-29.48,17.87,,,,,18.66
82,27.42,,-39.98,-25.00,12.88,,,,,16.82
83,28.09,,-38.26,-15.70,24.43,,,,,24.43
84,39.29,,-39.37,-0.18,25.98,,,,,29.31
85,44.61,,-41.06,9.51,34.10,,,,,34.10
86,57.53,,,155.22,34.81,,,,,30.89
87,61.96,,27.36,28.66,37.33,,,,,37.33
88,66.62,,45.55,-0.40,37.71,,,,,41.33
89,67.71,,27.14,27.14,38.23,,,,,42.36
90,69.63,,53.00,74.67,42.31,,,,,38.21
91,74.46,,84.24,90.57,48.17,,,,,44.40
92,74.24,,109.49,105.00,49.24,,,,,52.91
93,88.91,,134.24,128.20,65.23,,,,,68.98
94,95.98,,147.12,147.12,70.86,,,,,66.48
95,108.42,,167.07,167.07,84.18,,,,,79.64
96,119.31,,182.58,184.56,84.08,,,,,82.94
97,130.86,,191.08,192.40,89.02,,,,,84.39
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,230.49,,,,,,
107,,,252.11,252.11,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
