data/kolin_short.mp4
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step duration,Step duration,Takeoff angle,Torso tilt
0,,11.21,,,,14.87,-23.92,0.30,-18.20,
1,,,,,,,-9.21,0.17,,
2,15.78,,-94.67,-39.44,7.22,,18.19,0.07,,14.23
3,12.32,,-19.35,-46.45,1.30,,-14.13,0.20,,-5.44
4,14.95,,-16.98,-33.20,0.32,,16.19,0.17,,7.45
5,16.50,,-21.64,-25.83,4.41,,-11.39,,,4.41
6,17.37,,-28.40,-17.23,-9.27,,,,,-2.53
7,17.39,,-30.09,-14.49,0.43,,,,,5.96
8,15.69,,-45.05,-11.05,3.08,,,,,-3.03
9,19.89,,-43.03,-11.26,11.09,,,,,4.14
10,15.88,,-39.87,-39.87,0.57,,,,,6.10
11,13.93,,-17.11,-34.93,-7.07,,,,,-1.57
12,17.73,,-21.39,-29.66,6.13,,,,,6.13
13,16.20,,-33.07,-13.91,4.03,,,,,4.03
14,11.94,,-42.03,-6.46,-1.48,,,,,-1.48
15,10.37,,-53.36,-21.63,0.96,,,,,0.96
16,2.93,,-53.06,-53.06,0.96,,,,,0.96
17,6.93,,-17.13,-57.39,6.09,,,,,5.67
18,15.81,,-23.30,-50.41,-2.06,,,,,4.10
19,15.39,,-37.39,-41.91,8.17,,,,,7.20
20,17.87,,-43.62,-24.80,-2.46,,,,,-7.30
21,16.13,,-44.90,-9.60,-3.23,,,,,-3.23
22,7.21,,-57.81,-15.62,-3.23,,,,,0.86
23,11.18,,-10.97,-50.81,3.35,,,,,7.92
24,6.97,,-57.81,-25.25,2.42,,,,,2.42
25,9.24,,-33.90,-51.70,2.42,,,,,2.42
26,7.15,,-42.66,-47.27,2.42,,,,,-2.34
27,8.05,,-31.54,-56.07,4.24,,,,,-0.44
28,5.53,,-57.46,-25.65,4.37,,,,,4.37
29,8.76,,-29.82,-63.26,1.44,,,,,6.14
30,4.87,,-62.35,-62.77,-1.78,,,,,-5.78
31,4.99,,-43.25,-56.59,6.26,,,,,6.26
32,9.67,,-51.88,-55.96,2.58,,,,,2.58
33,11.72,,-58.71,-45.39,1.77,,,,,1.77
34,-0.35,,-68.98,-28.50,5.46,,,,,5.46
35,9.10,,-69.28,-24.99,5.46,,,,,10.14
36,10.84,,-62.97,-14.88,8.27,,,,,8.27
37,19.70,,-11.67,-52.33,7.38,,,,,2.67
38,32.78,,-41.12,-14.32,13.68,,,,,13.68
39,32.76,,-30.40,-2.73,18.20,,,,,18.20
40,40.39,,-18.08,1.52,19.23,,,,,19.23
41,46.28,,-18.15,14.47,29.76,,,,,25.36
42,54.55,,-28.12,21.63,33.89,,,,,33.89
43,60.95,,-20.40,30.28,33.79,,,,,36.46
44,62.80,,-16.03,43.84,36.90,,,,,35.09
45,66.34,,6.85,54.74,34.88,,,,,34.88
46,63.74,,36.10,67.43,36.56,,,,,30.94
47,64.04,,75.33,80.25,32.76,,,,,32.76
48,72.28,,95.23,88.70,45.19,,,,,40.62
49,74.02,,104.73,104.73,42.79,,,,,48.25
50,88.25,,123.47,128.30,53.25,,,,,56.41
51,92.35,,139.45,139.45,59.42,,,,,64.09
52,97.54,,148.44,148.44,68.67,,,,,68.67
53,107.02,,164.76,161.57,72.23,,,,,77.83
54,115.45,,175.11,175.11,72.86,,,,,79.10
55,122.34,,,192.23,77.98,,,,,64.30
56,131.14,,91.08,,65.90,,,,,67.75
57,132.30,,88.88,,66.21,,,,,65.28
58,150.88,,,,71.74,,,,,70.54
59,153.58,,,,68.06,,,,,70.99
60,174.24,,,,84.61,,,,,84.61
61,175.17,,,,73.95,,,,,69.53
62,203.93,,,,-70.64,,,,,-75.83
63,217.57,,292.79,,,,,,,
64,,,,,,,,,,
65,,,60.42,64.56,,,,,,
66,274.72,,68.82,68.82,-47.62,,,,,-35.87
67,272.16,,349.60,349.60,-52.19,,,,,-41.69
68,299.01,,,,-57.20,,,,,-44.93
69,291.83,,369.16,369.16,-49.77,,,,,-23.45
70,,,,,,,,,,
71,320.30,,384.69,390.67,-49.75,,,,,-32.37
72,336.75,,380.94,380.94,-27.93,,,,,-27.93
73,,,386.73,386.73,,,,,,
74,,,,381.68,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
